,mrna,life,ocugen,stock,effect,please,thank,share,pfizer,today,people,time,ocgn,emergency,vaccination,rxdx,sinopharm,japan,year,world,thanks,day,moderna,bharatbiotech,death,kid,biotech,man,fee,mohfw,sinovac,miracle,cdc,company,need,mansukhmandviya,biontech,covidvaccine,report,scientist,congratulation,booster,pfizerbiontech,amp,risk,drug,jab,fda,covaxin,country,dos,pincode,hosp,potus,group,availability,china,month,coronavirus,government,trial,data,canada,date,list,case,bengaluru,yesterday,govcanhealth,dose,efficacy,pmoindia,shot,apollo,covishield,news,covaxinapproval,use,vaccine,side,health,slot,hospital,delta,study,doctorsoumya,week,approval,age,sputnikv,child,drtedros,sep,astrazeneca,work,get,india,sputnik,travel,bharat
case,8.0,2.0,7.0,0.0,8.0,3.0,1.0,2.0,44.0,68.0,17.0,5.0,7.0,4.0,34.0,0.0,5.0,11.0,12.0,6.0,1.0,18.0,96.0,6.0,33.0,1.0,0.0,0.0,0.0,68.0,7.0,0.0,2.0,1.0,1.0,1.0,5.0,6.0,29.0,0.0,0.0,32.0,7.0,83.0,4.0,3.0,5.0,6.0,52.0,13.0,2.0,0.0,0.0,4.0,7.0,1.0,13.0,15.0,35.0,4.0,2.0,14.0,419.0,1.0,0.0,1452.0,0.0,8.0,0.0,46.0,4.0,2.0,12.0,0.0,3.0,6.0,1.0,6.0,404.0,5.0,15.0,1.0,7.0,6.0,11.0,1.0,7.0,4.0,4.0,3.0,5.0,1.0,0.0,4.0,5.0,6.0,26.0,1.0,2.0,0.0
bengaluru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5080.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0,0.0,1.0,0.0,0.0,0.0,0.0,5080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5088.0,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,4790.0,0.0,0.0,0.0,0.0,0.0,0.0,7940.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yesterday,3.0,1.0,1.0,3.0,18.0,3.0,5.0,1.0,13.0,33.0,11.0,5.0,5.0,4.0,16.0,0.0,24.0,1.0,2.0,0.0,5.0,16.0,81.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,0.0,124.0,3.0,4.0,0.0,0.0,11.0,2.0,32.0,3.0,49.0,0.0,0.0,3.0,1.0,0.0,2.0,8.0,1.0,3.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,370.0,1.0,29.0,2.0,0.0,50.0,0.0,2.0,5.0,0.0,4.0,94.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,6.0,2.0,3.0,0.0,24.0,3.0,3.0,5.0,0.0,0.0,1.0
govcanhealth,18.0,2.0,78.0,0.0,3.0,15.0,2.0,0.0,12.0,4.0,23.0,12.0,31.0,1.0,2.0,0.0,2.0,0.0,4.0,18.0,6.0,4.0,9.0,51.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,14.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,4.0,1.0,4.0,1.0,95.0,330.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,6.0,0.0,3.0,7.0,8.0,70.0,0.0,1.0,0.0,0.0,1.0,461.0,0.0,11.0,3.0,7.0,0.0,0.0,5.0,6.0,5.0,72.0,2.0,12.0,0.0,0.0,6.0,2.0,2.0,2.0,45.0,0.0,1.0,14.0,7.0,0.0,1.0,0.0,8.0,3.0,0.0,3.0,0.0
dose,10.0,1.0,2.0,3.0,20.0,8.0,13.0,1.0,72.0,80.0,70.0,19.0,4.0,5.0,77.0,483.0,89.0,1.0,14.0,88.0,0.0,29.0,207.0,20.0,1.0,81.0,4.0,3.0,7754.0,50.0,93.0,450.0,6.0,2.0,4.0,2.0,5.0,1123.0,4.0,2.0,1.0,141.0,32.0,71.0,3.0,8.0,11.0,21.0,8144.0,6.0,49.0,8485.0,652.0,3.0,2.0,1109.0,3.0,49.0,4.0,5.0,18.0,10.0,1.0,7770.0,0.0,46.0,1103.0,29.0,0.0,10641.0,2.0,3.0,35.0,941.0,1127.0,9.0,0.0,17.0,239.0,13.0,9.0,10697.0,569.0,7.0,16.0,1.0,29.0,10.0,16001.0,43.0,4.0,0.0,3782.0,8.0,9.0,12.0,75.0,636.0,3.0,3.0
efficacy,18.0,3.0,11.0,0.0,5.0,2.0,1.0,1.0,50.0,4.0,14.0,11.0,12.0,2.0,3.0,0.0,10.0,2.0,2.0,11.0,0.0,8.0,46.0,10.0,2.0,6.0,11.0,0.0,0.0,0.0,21.0,0.0,3.0,2.0,6.0,1.0,3.0,7.0,9.0,1.0,1.0,16.0,4.0,13.0,1.0,2.0,7.0,12.0,234.0,3.0,7.0,0.0,0.0,2.0,3.0,0.0,7.0,16.0,10.0,6.0,27.0,49.0,12.0,3.0,0.0,4.0,0.0,2.0,11.0,2.0,487.0,0.0,15.0,0.0,7.0,16.0,1.0,2.0,190.0,4.0,4.0,0.0,0.0,40.0,33.0,0.0,5.0,23.0,1.0,26.0,3.0,3.0,0.0,2.0,3.0,3.0,7.0,11.0,3.0,12.0
pmoindia,0.0,4.0,4.0,0.0,1.0,16.0,11.0,0.0,2.0,7.0,15.0,5.0,1.0,2.0,17.0,0.0,0.0,0.0,2.0,12.0,4.0,7.0,0.0,89.0,0.0,5.0,5.0,0.0,1.0,116.0,0.0,0.0,1.0,0.0,0.0,94.0,0.0,3.0,1.0,2.0,17.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,196.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,368.0,3.0,0.0,4.0,8.0,4.0,3.0,27.0,0.0,3.0,1.0,0.0,0.0,1.0,39.0,4.0,56.0,0.0,4.0,2.0,13.0,0.0,0.0,6.0,9.0,145.0,0.0,10.0,3.0
shot,62.0,5.0,4.0,5.0,58.0,13.0,11.0,8.0,295.0,168.0,114.0,53.0,6.0,19.0,45.0,0.0,28.0,71.0,39.0,13.0,6.0,97.0,928.0,16.0,14.0,18.0,4.0,2.0,0.0,2.0,74.0,0.0,44.0,10.0,16.0,1.0,25.0,53.0,12.0,3.0,1.0,1195.0,43.0,107.0,32.0,18.0,8.0,115.0,154.0,9.0,22.0,0.0,1.0,22.0,12.0,1.0,3.0,80.0,29.0,15.0,17.0,27.0,19.0,2.0,1.0,12.0,0.0,50.0,7.0,35.0,15.0,3.0,2444.0,0.0,19.0,46.0,2.0,27.0,532.0,43.0,66.0,0.0,9.0,19.0,45.0,3.0,45.0,31.0,14.0,22.0,14.0,0.0,1.0,17.0,15.0,51.0,31.0,14.0,5.0,4.0
apollo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,941.0,0.0,0.0,941.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,0.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,9.0,0.0,0.0,0.0,0.0,0.0,1871.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
covishield,1.0,4.0,2.0,6.0,4.0,5.0,1.0,1.0,24.0,45.0,23.0,14.0,2.0,5.0,182.0,0.0,2.0,2.0,3.0,11.0,3.0,25.0,9.0,20.0,1.0,8.0,4.0,4.0,0.0,8.0,6.0,0.0,0.0,0.0,5.0,6.0,0.0,4835.0,4.0,1.0,8.0,17.0,0.0,93.0,3.0,5.0,18.0,8.0,828.0,79.0,65.0,0.0,0.0,0.0,0.0,4793.0,8.0,20.0,22.0,10.0,12.0,9.0,1.0,3.0,8.0,3.0,4790.0,2.0,0.0,1127.0,7.0,4.0,19.0,0.0,5767.0,18.0,3.0,9.0,255.0,3.0,16.0,7588.0,4.0,1.0,29.0,2.0,3.0,15.0,55.0,19.0,0.0,1.0,7.0,6.0,6.0,14.0,127.0,7.0,17.0,5.0
news,17.0,3.0,33.0,23.0,10.0,7.0,13.0,9.0,64.0,60.0,49.0,19.0,22.0,63.0,31.0,0.0,24.0,36.0,53.0,59.0,10.0,41.0,189.0,66.0,8.0,59.0,27.0,3.0,0.0,7.0,30.0,0.0,15.0,6.0,15.0,7.0,12.0,12.0,22.0,8.0,22.0,79.0,19.0,37.0,12.0,5.0,18.0,41.0,514.0,19.0,35.0,0.0,0.0,2.0,19.0,0.0,16.0,17.0,21.0,12.0,13.0,11.0,11.0,7.0,13.0,6.0,0.0,5.0,5.0,9.0,16.0,8.0,46.0,0.0,18.0,1335.0,30.0,110.0,302.0,8.0,35.0,0.0,1.0,1.0,18.0,1.0,32.0,125.0,30.0,34.0,30.0,9.0,3.0,7.0,10.0,51.0,87.0,9.0,18.0,24.0
covaxinapproval,2.0,7.0,14.0,0.0,2.0,19.0,5.0,1.0,5.0,3.0,6.0,4.0,15.0,52.0,8.0,0.0,1.0,0.0,33.0,19.0,1.0,2.0,3.0,73.0,0.0,34.0,26.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,27.0,0.0,4.0,12.0,1.0,0.0,9.0,0.0,2.0,0.0,9.0,503.0,6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,4.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.0,4.0,2.0,0.0,3.0,30.0,459.0,41.0,55.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,11.0,75.0,17.0,1.0,18.0,29.0,0.0,0.0,1.0,36.0,29.0,0.0,8.0,25.0
use,35.0,2.0,41.0,6.0,15.0,10.0,6.0,3.0,55.0,26.0,58.0,12.0,9.0,1235.0,16.0,0.0,25.0,53.0,141.0,111.0,1.0,14.0,148.0,180.0,3.0,63.0,214.0,0.0,0.0,10.0,45.0,0.0,5.0,14.0,3.0,6.0,13.0,18.0,30.0,12.0,33.0,59.0,13.0,53.0,21.0,51.0,16.0,75.0,1213.0,39.0,57.0,0.0,0.0,1.0,96.0,2.0,19.0,14.0,29.0,16.0,21.0,34.0,12.0,0.0,12.0,6.0,0.0,4.0,5.0,17.0,2.0,3.0,27.0,0.0,9.0,110.0,41.0,1894.0,606.0,15.0,149.0,0.0,0.0,4.0,8.0,3.0,48.0,361.0,109.0,18.0,136.0,15.0,0.0,9.0,3.0,185.0,205.0,6.0,12.0,218.0
vaccine,415.0,75.0,223.0,62.0,191.0,93.0,67.0,66.0,1980.0,331.0,575.0,229.0,127.0,390.0,346.0,0.0,713.0,478.0,273.0,368.0,54.0,1113.0,2707.0,350.0,109.0,212.0,266.0,1760.0,4.0,30.0,622.0,4.0,125.0,155.0,135.0,19.0,250.0,161.0,293.0,97.0,45.0,808.0,251.0,478.0,178.0,121.0,151.0,484.0,2939.0,342.0,837.0,3.0,1.0,121.0,132.0,12.0,438.0,254.0,359.0,182.0,286.0,252.0,351.0,45.0,100.0,404.0,0.0,94.0,72.0,239.0,190.0,27.0,532.0,0.0,255.0,302.0,55.0,606.0,16843.0,152.0,1384.0,13.0,56.0,154.0,313.0,37.0,178.0,558.0,248.0,355.0,345.0,87.0,5.0,238.0,146.0,259.0,404.0,108.0,68.0,220.0
side,13.0,6.0,3.0,1.0,474.0,7.0,3.0,1.0,59.0,16.0,24.0,16.0,5.0,4.0,17.0,0.0,7.0,0.0,3.0,3.0,1.0,34.0,171.0,4.0,15.0,3.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,7.0,0.0,8.0,17.0,17.0,0.0,0.0,84.0,7.0,8.0,18.0,3.0,28.0,6.0,79.0,3.0,16.0,0.0,0.0,1.0,5.0,0.0,4.0,11.0,2.0,6.0,2.0,5.0,2.0,1.0,2.0,5.0,0.0,13.0,2.0,13.0,4.0,0.0,43.0,0.0,3.0,8.0,2.0,15.0,152.0,560.0,6.0,0.0,1.0,3.0,7.0,0.0,9.0,3.0,5.0,13.0,2.0,2.0,0.0,3.0,6.0,6.0,4.0,0.0,0.0,1.0
health,17.0,10.0,7.0,5.0,6.0,14.0,9.0,6.0,63.0,35.0,51.0,7.0,7.0,147.0,28.0,0.0,23.0,82.0,16.0,224.0,8.0,873.0,163.0,50.0,7.0,15.0,51.0,1704.0,0.0,3.0,40.0,0.0,6.0,7.0,2.0,39.0,8.0,10.0,17.0,53.0,5.0,56.0,12.0,40.0,24.0,8.0,22.0,14.0,343.0,36.0,93.0,0.0,0.0,2.0,19.0,1.0,11.0,22.0,30.0,28.0,4.0,35.0,87.0,1.0,6.0,15.0,0.0,0.0,12.0,9.0,4.0,3.0,66.0,0.0,16.0,35.0,2.0,149.0,1384.0,6.0,2348.0,0.0,6.0,4.0,17.0,9.0,27.0,89.0,20.0,35.0,34.0,12.0,1.0,3.0,5.0,15.0,49.0,9.0,5.0,64.0
slot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,28.0,3.0,0.0,0.0,12.0,483.0,0.0,0.0,0.0,82.0,0.0,0.0,3.0,0.0,0.0,75.0,0.0,0.0,7754.0,1.0,0.0,450.0,0.0,0.0,2.0,0.0,0.0,7941.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,8305.0,0.0,0.0,8485.0,652.0,0.0,0.0,7942.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7759.0,0.0,1.0,7940.0,0.0,0.0,10697.0,0.0,1.0,0.0,941.0,7588.0,0.0,0.0,0.0,13.0,0.0,0.0,22188.0,555.0,0.0,0.0,0.0,0.0,1.0,15996.0,0.0,0.0,0.0,3774.0,1.0,0.0,4.0,53.0,619.0,0.0,0.0
hospital,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,10.0,8.0,8.0,2.0,0.0,1.0,29.0,0.0,6.0,0.0,2.0,82.0,0.0,4.0,17.0,0.0,1.0,14.0,0.0,0.0,555.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,1.0,1.0,583.0,1.0,5.0,555.0,1.0,0.0,2.0,2.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,555.0,2.0,7.0,4.0,0.0,0.0,569.0,0.0,0.0,9.0,9.0,4.0,1.0,0.0,0.0,56.0,1.0,6.0,555.0,754.0,1.0,4.0,0.0,4.0,0.0,606.0,15.0,5.0,0.0,216.0,3.0,3.0,4.0,2.0,7.0,1.0,0.0
delta,12.0,0.0,21.0,0.0,4.0,2.0,2.0,4.0,75.0,1.0,11.0,12.0,15.0,1.0,12.0,0.0,6.0,0.0,2.0,12.0,4.0,0.0,60.0,16.0,2.0,1.0,6.0,1.0,0.0,0.0,11.0,0.0,5.0,1.0,9.0,0.0,2.0,1.0,2.0,3.0,1.0,22.0,2.0,14.0,4.0,0.0,2.0,16.0,133.0,3.0,2.0,0.0,0.0,6.0,1.0,0.0,10.0,2.0,6.0,3.0,27.0,30.0,6.0,1.0,0.0,6.0,0.0,2.0,6.0,7.0,40.0,0.0,19.0,0.0,1.0,1.0,1.0,4.0,154.0,3.0,4.0,0.0,1.0,367.0,38.0,0.0,1.0,5.0,0.0,8.0,0.0,1.0,0.0,1.0,9.0,3.0,3.0,4.0,1.0,5.0
study,14.0,1.0,12.0,1.0,13.0,1.0,1.0,6.0,176.0,8.0,42.0,18.0,8.0,4.0,29.0,0.0,9.0,0.0,10.0,11.0,1.0,8.0,147.0,15.0,9.0,7.0,6.0,0.0,0.0,1.0,38.0,0.0,28.0,4.0,3.0,2.0,14.0,16.0,14.0,3.0,0.0,63.0,11.0,46.0,20.0,10.0,14.0,8.0,166.0,5.0,12.0,0.0,0.0,0.0,8.0,0.0,3.0,27.0,24.0,2.0,12.0,20.0,2.0,1.0,0.0,11.0,0.0,0.0,2.0,16.0,33.0,1.0,45.0,0.0,29.0,18.0,0.0,8.0,313.0,7.0,17.0,0.0,4.0,38.0,758.0,1.0,5.0,11.0,8.0,15.0,17.0,0.0,1.0,13.0,16.0,2.0,8.0,3.0,2.0,6.0
doctorsoumya,3.0,4.0,38.0,0.0,0.0,14.0,9.0,1.0,4.0,5.0,16.0,8.0,1.0,6.0,0.0,0.0,3.0,0.0,1.0,28.0,3.0,3.0,3.0,136.0,1.0,1.0,2.0,1.0,0.0,30.0,0.0,0.0,0.0,2.0,5.0,57.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,188.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,8.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,39.0,3.0,0.0,2.0,1.0,9.0,3.0,37.0,0.0,9.0,0.0,0.0,0.0,1.0,387.0,10.0,58.0,0.0,2.0,1.0,44.0,0.0,1.0,1.0,7.0,31.0,0.0,3.0,2.0
week,17.0,0.0,21.0,13.0,10.0,9.0,5.0,8.0,48.0,24.0,21.0,20.0,42.0,46.0,26.0,0.0,10.0,10.0,7.0,28.0,1.0,28.0,159.0,71.0,13.0,6.0,48.0,4.0,0.0,4.0,14.0,0.0,7.0,6.0,6.0,3.0,5.0,19.0,19.0,1.0,0.0,75.0,4.0,27.0,15.0,2.0,23.0,14.0,378.0,10.0,25.0,0.0,0.0,3.0,19.0,3.0,4.0,21.0,8.0,4.0,23.0,24.0,2.0,9.0,0.0,7.0,0.0,4.0,2.0,29.0,5.0,4.0,45.0,0.0,3.0,32.0,11.0,48.0,178.0,9.0,27.0,0.0,4.0,1.0,5.0,10.0,917.0,144.0,8.0,9.0,7.0,10.0,0.0,7.0,9.0,37.0,19.0,2.0,3.0,49.0
approval,17.0,10.0,101.0,21.0,6.0,59.0,33.0,7.0,149.0,50.0,78.0,85.0,102.0,385.0,35.0,0.0,23.0,0.0,189.0,92.0,24.0,72.0,142.0,389.0,3.0,125.0,193.0,3.0,1.0,42.0,24.0,0.0,14.0,10.0,44.0,61.0,20.0,36.0,24.0,39.0,98.0,54.0,68.0,68.0,3.0,61.0,12.0,188.0,2443.0,92.0,17.0,0.0,1.0,8.0,48.0,4.0,29.0,75.0,29.0,26.0,21.0,43.0,57.0,28.0,33.0,4.0,0.0,5.0,45.0,10.0,23.0,56.0,31.0,0.0,15.0,125.0,75.0,361.0,558.0,3.0,89.0,1.0,0.0,5.0,11.0,58.0,144.0,3083.0,67.0,62.0,155.0,118.0,2.0,4.0,24.0,446.0,246.0,12.0,54.0,219.0
age,4.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,46.0,8.0,85.0,3.0,11.0,59.0,49.0,966.0,12.0,1.0,243.0,108.0,1.0,5.0,61.0,42.0,3.0,159.0,50.0,1.0,14537.0,2.0,6.0,900.0,1.0,0.0,2.0,0.0,8.0,15.0,16.0,5.0,3.0,17.0,8.0,19.0,13.0,15.0,9.0,17.0,15260.0,10.0,9.0,15999.0,1229.0,1.0,240.0,0.0,3.0,14.0,5.0,12.0,41.0,28.0,8.0,14539.0,0.0,4.0,0.0,0.0,0.0,16001.0,1.0,0.0,14.0,1871.0,55.0,30.0,17.0,109.0,248.0,5.0,20.0,15996.0,606.0,0.0,8.0,0.0,8.0,67.0,31751.0,1.0,115.0,1.0,7133.0,0.0,0.0,23.0,76.0,1226.0,1.0,42.0
sputnikv,1.0,4.0,0.0,0.0,12.0,10.0,8.0,2.0,26.0,42.0,31.0,12.0,0.0,9.0,44.0,0.0,6.0,2.0,13.0,31.0,4.0,6.0,26.0,2.0,5.0,0.0,1.0,2.0,0.0,2.0,33.0,1.0,1.0,5.0,18.0,0.0,1.0,15.0,7.0,2.0,1.0,12.0,1.0,24.0,7.0,10.0,38.0,5.0,27.0,51.0,60.0,1.0,0.0,1.0,2.0,3.0,4.0,15.0,28.0,8.0,24.0,27.0,1.0,5.0,1.0,3.0,0.0,6.0,1.0,43.0,26.0,4.0,22.0,0.0,19.0,34.0,1.0,18.0,355.0,13.0,35.0,0.0,15.0,8.0,15.0,2.0,9.0,62.0,1.0,1147.0,0.0,16.0,0.0,20.0,11.0,24.0,21.0,69.0,11.0,0.0
child,12.0,1.0,32.0,2.0,5.0,6.0,10.0,0.0,76.0,11.0,7.0,18.0,33.0,100.0,52.0,0.0,21.0,0.0,221.0,21.0,4.0,10.0,68.0,73.0,4.0,19.0,81.0,0.0,0.0,3.0,25.0,0.0,9.0,7.0,9.0,1.0,12.0,17.0,16.0,12.0,28.0,8.0,31.0,23.0,11.0,23.0,15.0,23.0,651.0,16.0,10.0,0.0,0.0,4.0,29.0,2.0,17.0,7.0,15.0,11.0,99.0,31.0,28.0,2.0,1.0,5.0,2.0,2.0,14.0,4.0,3.0,2.0,14.0,0.0,0.0,30.0,18.0,136.0,345.0,2.0,34.0,0.0,5.0,0.0,17.0,1.0,7.0,155.0,115.0,0.0,1091.0,3.0,2.0,3.0,5.0,87.0,57.0,1.0,1.0,104.0
drtedros,1.0,14.0,38.0,0.0,4.0,17.0,4.0,1.0,15.0,2.0,30.0,12.0,8.0,15.0,5.0,0.0,2.0,0.0,3.0,46.0,1.0,13.0,6.0,77.0,2.0,3.0,3.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,15.0,21.0,0.0,11.0,1.0,3.0,6.0,3.0,0.0,6.0,0.0,1.0,0.0,3.0,449.0,11.0,1.0,0.0,0.0,5.0,1.0,0.0,11.0,7.0,2.0,1.0,1.0,6.0,2.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,3.0,13.0,0.0,0.0,1.0,9.0,29.0,15.0,87.0,2.0,12.0,0.0,0.0,1.0,0.0,44.0,10.0,118.0,1.0,16.0,3.0,683.0,0.0,1.0,3.0,13.0,16.0,2.0,4.0,3.0
sep,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,25.0,236.0,7.0,0.0,0.0,42.0,0.0,0.0,2.0,2.0,2.0,47.0,0.0,0.0,3772.0,0.0,1.0,259.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3514.0,0.0,7.0,3774.0,328.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3775.0,0.0,0.0,0.0,0.0,0.0,3782.0,0.0,0.0,1.0,440.0,7.0,3.0,0.0,0.0,5.0,0.0,1.0,3774.0,216.0,0.0,1.0,0.0,0.0,2.0,7133.0,0.0,2.0,0.0,3818.0,0.0,0.0,0.0,30.0,307.0,0.0,0.0
astrazeneca,8.0,1.0,0.0,1.0,7.0,4.0,2.0,0.0,225.0,8.0,9.0,3.0,0.0,0.0,31.0,0.0,23.0,2.0,2.0,8.0,1.0,8.0,175.0,0.0,39.0,0.0,2.0,0.0,0.0,0.0,30.0,1.0,7.0,3.0,2.0,0.0,17.0,15.0,4.0,0.0,0.0,22.0,10.0,26.0,0.0,6.0,27.0,7.0,13.0,3.0,69.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,28.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,0.0,24.0,1.0,8.0,2.0,0.0,17.0,0.0,6.0,7.0,0.0,9.0,238.0,3.0,3.0,1.0,3.0,1.0,13.0,1.0,7.0,4.0,0.0,20.0,3.0,1.0,0.0,535.0,2.0,3.0,5.0,6.0,1.0,2.0
work,10.0,3.0,10.0,0.0,8.0,35.0,3.0,1.0,58.0,10.0,16.0,12.0,7.0,3.0,17.0,0.0,5.0,0.0,9.0,4.0,8.0,10.0,66.0,15.0,2.0,6.0,1.0,1.0,0.0,4.0,5.0,0.0,3.0,12.0,17.0,1.0,4.0,5.0,0.0,10.0,5.0,42.0,4.0,24.0,1.0,1.0,7.0,11.0,87.0,9.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,8.0,4.0,2.0,5.0,10.0,3.0,2.0,2.0,5.0,0.0,3.0,0.0,9.0,3.0,6.0,15.0,0.0,6.0,10.0,1.0,3.0,146.0,6.0,5.0,0.0,3.0,9.0,16.0,1.0,9.0,24.0,0.0,11.0,5.0,3.0,0.0,2.0,474.0,10.0,9.0,1.0,9.0,1.0
get,12.0,8.0,14.0,4.0,4.0,18.0,25.0,4.0,93.0,32.0,53.0,21.0,12.0,180.0,34.0,0.0,17.0,5.0,130.0,26.0,14.0,30.0,145.0,96.0,2.0,128.0,78.0,1.0,0.0,8.0,21.0,0.0,3.0,7.0,3.0,17.0,4.0,20.0,10.0,8.0,70.0,100.0,8.0,31.0,4.0,7.0,29.0,17.0,708.0,7.0,20.0,0.0,0.0,11.0,12.0,1.0,2.0,36.0,11.0,10.0,7.0,6.0,12.0,2.0,1.0,6.0,0.0,3.0,8.0,12.0,3.0,9.0,51.0,0.0,14.0,51.0,36.0,185.0,259.0,6.0,15.0,4.0,4.0,3.0,2.0,7.0,37.0,446.0,23.0,24.0,87.0,13.0,0.0,3.0,10.0,1275.0,111.0,2.0,26.0,101.0
india,5.0,6.0,12.0,3.0,5.0,21.0,25.0,5.0,43.0,58.0,37.0,34.0,21.0,205.0,163.0,0.0,5.0,3.0,54.0,116.0,17.0,52.0,15.0,188.0,3.0,88.0,78.0,5.0,51.0,280.0,8.0,0.0,1.0,16.0,5.0,128.0,2.0,27.0,13.0,14.0,134.0,4.0,1.0,81.0,0.0,49.0,27.0,3.0,1253.0,74.0,63.0,51.0,0.0,5.0,20.0,3.0,17.0,32.0,28.0,20.0,34.0,27.0,7.0,55.0,30.0,26.0,0.0,5.0,3.0,75.0,7.0,145.0,31.0,0.0,127.0,87.0,29.0,205.0,404.0,4.0,49.0,53.0,2.0,3.0,8.0,31.0,19.0,246.0,76.0,21.0,57.0,16.0,30.0,5.0,9.0,111.0,2162.0,25.0,47.0,81.0
sputnik,1.0,2.0,0.0,5.0,0.0,1.0,2.0,3.0,7.0,5.0,3.0,1.0,0.0,4.0,6.0,70.0,5.0,0.0,2.0,4.0,0.0,2.0,7.0,4.0,2.0,0.0,1.0,0.0,618.0,1.0,5.0,111.0,0.0,0.0,1.0,1.0,4.0,3.0,4.0,0.0,0.0,3.0,1.0,6.0,2.0,6.0,12.0,0.0,17.0,9.0,8.0,618.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,19.0,8.0,0.0,618.0,1.0,1.0,0.0,0.0,0.0,636.0,11.0,0.0,14.0,0.0,7.0,9.0,0.0,6.0,108.0,0.0,9.0,619.0,7.0,4.0,3.0,0.0,2.0,12.0,1226.0,69.0,1.0,2.0,307.0,6.0,1.0,2.0,25.0,852.0,2.0,0.0
