,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,today,covidvaccines,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,hope,sputnikv,oxford,worker,astrazeneca,work,get,end,care,india
government,4.0,2.0,3.0,3.0,22.0,11.0,4.0,7.0,29.0,5.0,25.0,1.0,37.0,5.0,11.0,1.0,12.0,3.0,25.0,58.0,35.0,0.0,46.0,7.0,1.0,0.0,4.0,5.0,2.0,16.0,12.0,39.0,8.0,1.0,29.0,1.0,7.0,0.0,3.0,1.0,3.0,1.0,2.0,5.0,8.0,5.0,3.0,3.0,6.0,1.0,0.0,4.0,22.0,10.0,0.0,108.0,26.0,57.0,7.0,2.0,7.0,39.0,5.0,9.0,23.0,880.0,3.0,13.0,10.0,9.0,6.0,6.0,5.0,5.0,2.0,7.0,26.0,13.0,23.0,7.0,336.0,8.0,26.0,1.0,17.0,3.0,39.0,7.0,18.0,1.0,6.0,96.0,6.0,13.0,11.0,4.0,12.0,1.0,1.0,58.0
trial,8.0,3.0,4.0,1.0,5.0,6.0,12.0,8.0,55.0,3.0,19.0,1.0,18.0,7.0,5.0,4.0,1.0,3.0,10.0,14.0,24.0,0.0,24.0,1.0,0.0,7.0,30.0,21.0,3.0,2.0,9.0,164.0,1.0,3.0,36.0,4.0,0.0,1.0,18.0,18.0,3.0,0.0,8.0,1.0,21.0,20.0,0.0,1.0,9.0,3.0,2.0,12.0,67.0,10.0,14.0,510.0,15.0,10.0,8.0,1.0,12.0,35.0,1.0,65.0,29.0,3.0,1373.0,2.0,13.0,117.0,2.0,21.0,10.0,283.0,2.0,21.0,2.0,40.0,18.0,2.0,458.0,4.0,10.0,0.0,2.0,27.0,6.0,7.0,20.0,26.0,4.0,84.0,23.0,3.0,68.0,11.0,4.0,10.0,1.0,64.0
canada,11.0,3.0,4.0,5.0,1.0,2.0,1.0,8.0,33.0,1.0,240.0,1.0,15.0,1.0,4.0,0.0,0.0,1.0,0.0,14.0,400.0,0.0,2.0,0.0,0.0,0.0,2.0,41.0,2.0,1.0,22.0,59.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,408.0,2.0,6.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,59.0,1.0,0.0,17.0,50.0,25.0,4.0,0.0,0.0,4.0,0.0,10.0,5.0,13.0,2.0,1843.0,757.0,1.0,0.0,4.0,3.0,2.0,2.0,5.0,0.0,10.0,2.0,13.0,236.0,1.0,16.0,0.0,0.0,4.0,5.0,18.0,2.0,1.0,5.0,129.0,7.0,0.0,9.0,0.0,4.0,8.0,2.0,8.0
case,2.0,11.0,1.0,2.0,3.0,12.0,2.0,1.0,31.0,7.0,31.0,1.0,23.0,40.0,11.0,2.0,2.0,1.0,5.0,37.0,682.0,2.0,9.0,1.0,0.0,0.0,3.0,5.0,11.0,5.0,33.0,41.0,95.0,3.0,29.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,0.0,4.0,20.0,62.0,8.0,0.0,0.0,0.0,2.0,9.0,24.0,15.0,3.0,74.0,21.0,13.0,5.0,1.0,7.0,11.0,2.0,7.0,83.0,10.0,13.0,757.0,2508.0,20.0,4.0,4.0,5.0,33.0,38.0,8.0,3.0,24.0,16.0,2.0,262.0,9.0,11.0,1.0,6.0,11.0,18.0,33.0,1.0,1.0,1.0,49.0,0.0,0.0,33.0,4.0,6.0,1.0,2.0,48.0
data,1.0,5.0,17.0,4.0,2.0,11.0,0.0,0.0,54.0,12.0,9.0,0.0,28.0,6.0,8.0,13.0,3.0,4.0,9.0,28.0,21.0,0.0,31.0,1.0,0.0,1.0,5.0,35.0,1.0,6.0,10.0,75.0,9.0,1.0,54.0,9.0,1.0,1.0,4.0,13.0,5.0,0.0,6.0,7.0,8.0,17.0,0.0,27.0,3.0,1.0,0.0,13.0,41.0,5.0,6.0,247.0,12.0,11.0,6.0,0.0,4.0,22.0,0.0,23.0,10.0,9.0,117.0,1.0,20.0,854.0,4.0,4.0,14.0,150.0,3.0,21.0,0.0,20.0,10.0,0.0,275.0,9.0,14.0,0.0,1.0,30.0,6.0,25.0,16.0,6.0,4.0,53.0,4.0,2.0,6.0,15.0,4.0,3.0,0.0,35.0
yesterday,4.0,5.0,1.0,5.0,4.0,102.0,1.0,13.0,16.0,8.0,124.0,1.0,13.0,4.0,21.0,1.0,1.0,0.0,1.0,51.0,5.0,1.0,7.0,8.0,0.0,13.0,9.0,3.0,10.0,21.0,63.0,328.0,2.0,108.0,18.0,2.0,0.0,17.0,3.0,0.0,2.0,1.0,0.0,0.0,48.0,12.0,0.0,9.0,0.0,2.0,2.0,17.0,23.0,61.0,2.0,35.0,0.0,4.0,3.0,49.0,4.0,3.0,40.0,7.0,5.0,6.0,2.0,0.0,4.0,4.0,902.0,43.0,54.0,2.0,42.0,149.0,1.0,10.0,3.0,0.0,306.0,61.0,7.0,6.0,6.0,2.0,0.0,12.0,1.0,10.0,5.0,12.0,6.0,1.0,6.0,12.0,20.0,1.0,7.0,5.0
oxfordastrazeneca,3.0,9.0,0.0,12.0,3.0,55.0,6.0,37.0,20.0,6.0,83.0,1.0,24.0,1.0,12.0,0.0,3.0,2.0,1.0,61.0,1.0,0.0,0.0,8.0,0.0,2.0,6.0,12.0,3.0,13.0,31.0,2.0,4.0,23.0,0.0,4.0,0.0,5.0,6.0,0.0,3.0,4.0,1.0,4.0,71.0,5.0,1.0,6.0,2.0,11.0,11.0,6.0,12.0,138.0,0.0,0.0,15.0,14.0,2.0,10.0,5.0,0.0,21.0,4.0,10.0,6.0,21.0,4.0,4.0,4.0,43.0,1065.0,15.0,3.0,20.0,16.0,5.0,26.0,17.0,1.0,391.0,40.0,13.0,4.0,1.0,4.0,6.0,27.0,0.0,9.0,7.0,3.0,58.0,3.0,77.0,6.0,8.0,4.0,1.0,3.0
dose,4.0,20.0,5.0,10.0,9.0,47.0,6.0,35.0,66.0,26.0,176.0,0.0,52.0,9.0,20.0,0.0,6.0,0.0,3.0,51.0,9.0,1.0,12.0,10.0,1.0,17.0,17.0,7.0,13.0,18.0,76.0,415.0,3.0,50.0,26.0,6.0,1.0,15.0,5.0,2.0,4.0,4.0,7.0,3.0,68.0,10.0,0.0,4.0,10.0,10.0,0.0,65.0,41.0,6.0,3.0,229.0,0.0,11.0,13.0,18.0,4.0,6.0,24.0,16.0,14.0,5.0,10.0,3.0,5.0,14.0,54.0,15.0,1406.0,11.0,58.0,21.0,0.0,12.0,4.0,3.0,403.0,29.0,19.0,0.0,25.0,14.0,5.0,76.0,0.0,9.0,7.0,30.0,3.0,4.0,8.0,4.0,23.0,3.0,7.0,17.0
efficacy,1.0,3.0,3.0,1.0,7.0,13.0,2.0,8.0,54.0,8.0,17.0,3.0,14.0,12.0,12.0,8.0,1.0,4.0,9.0,18.0,19.0,0.0,41.0,4.0,0.0,0.0,5.0,24.0,0.0,4.0,6.0,30.0,6.0,4.0,73.0,8.0,0.0,0.0,7.0,22.0,10.0,2.0,13.0,2.0,31.0,10.0,0.0,1.0,5.0,3.0,0.0,12.0,78.0,10.0,2.0,634.0,8.0,7.0,0.0,0.0,5.0,31.0,2.0,19.0,20.0,5.0,283.0,2.0,33.0,150.0,2.0,3.0,11.0,1283.0,2.0,21.0,0.0,50.0,11.0,0.0,490.0,9.0,9.0,0.0,2.0,32.0,7.0,10.0,12.0,6.0,3.0,110.0,5.0,2.0,55.0,13.0,4.0,4.0,2.0,54.0
hour,2.0,5.0,1.0,2.0,1.0,113.0,6.0,9.0,12.0,79.0,60.0,0.0,18.0,8.0,26.0,4.0,0.0,0.0,1.0,45.0,8.0,0.0,4.0,6.0,0.0,40.0,7.0,4.0,11.0,10.0,55.0,387.0,38.0,181.0,3.0,3.0,1.0,50.0,0.0,0.0,2.0,3.0,0.0,0.0,27.0,42.0,0.0,3.0,0.0,5.0,0.0,21.0,29.0,31.0,0.0,27.0,0.0,4.0,5.0,55.0,0.0,0.0,22.0,2.0,37.0,2.0,2.0,2.0,38.0,3.0,42.0,20.0,58.0,2.0,1018.0,141.0,0.0,10.0,1.0,0.0,210.0,80.0,2.0,1.0,1.0,0.0,2.0,13.0,2.0,6.0,4.0,14.0,3.0,0.0,4.0,4.0,18.0,5.0,0.0,16.0
shot,7.0,41.0,22.0,21.0,22.0,175.0,23.0,71.0,203.0,40.0,425.0,3.0,59.0,28.0,62.0,4.0,16.0,1.0,7.0,103.0,17.0,0.0,45.0,34.0,0.0,28.0,42.0,38.0,39.0,45.0,249.0,1530.0,16.0,276.0,50.0,11.0,9.0,34.0,10.0,18.0,12.0,15.0,14.0,3.0,152.0,17.0,0.0,20.0,33.0,14.0,2.0,69.0,75.0,13.0,1.0,216.0,17.0,7.0,48.0,68.0,4.0,28.0,60.0,49.0,47.0,7.0,21.0,5.0,8.0,21.0,149.0,16.0,21.0,21.0,141.0,4003.0,1.0,29.0,24.0,2.0,872.0,129.0,25.0,5.0,24.0,52.0,14.0,147.0,6.0,29.0,14.0,73.0,1.0,18.0,11.0,12.0,91.0,12.0,9.0,29.0
batch,0.0,0.0,0.0,1.0,13.0,1.0,1.0,0.0,4.0,0.0,8.0,0.0,3.0,3.0,15.0,0.0,23.0,0.0,0.0,6.0,54.0,0.0,158.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,9.0,0.0,0.0,157.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,6.0,6.0,0.0,0.0,1.0,0.0,9.0,2.0,4.0,0.0,2.0,37.0,101.0,0.0,0.0,1.0,301.0,7.0,9.0,27.0,26.0,2.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,689.0,7.0,0.0,9.0,583.0,1.0,11.0,0.0,1.0,0.0,2.0,9.0,1.0,3.0,1.0,88.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,3.0
news,13.0,4.0,7.0,6.0,17.0,13.0,10.0,2.0,73.0,3.0,61.0,3.0,48.0,3.0,20.0,28.0,7.0,9.0,62.0,48.0,47.0,0.0,22.0,6.0,0.0,4.0,14.0,28.0,1.0,13.0,38.0,151.0,5.0,3.0,21.0,6.0,4.0,1.0,7.0,25.0,2.0,1.0,4.0,10.0,31.0,30.0,5.0,4.0,8.0,1.0,0.0,30.0,41.0,30.0,3.0,282.0,21.0,25.0,6.0,3.0,5.0,19.0,41.0,18.0,44.0,13.0,40.0,10.0,24.0,20.0,10.0,26.0,12.0,50.0,10.0,29.0,7.0,1491.0,104.0,6.0,445.0,12.0,28.0,0.0,7.0,36.0,7.0,35.0,19.0,1.0,10.0,180.0,14.0,4.0,31.0,11.0,19.0,4.0,4.0,123.0
use,3.0,2.0,4.0,2.0,17.0,8.0,4.0,2.0,48.0,0.0,46.0,2.0,30.0,5.0,8.0,0.0,7.0,1.0,781.0,18.0,139.0,0.0,85.0,1.0,0.0,0.0,4.0,28.0,0.0,2.0,13.0,36.0,4.0,3.0,55.0,8.0,3.0,2.0,3.0,1.0,7.0,4.0,8.0,3.0,29.0,29.0,3.0,3.0,1.0,0.0,0.0,8.0,41.0,10.0,17.0,156.0,111.0,11.0,1.0,0.0,1.0,77.0,0.0,8.0,53.0,23.0,18.0,2.0,16.0,10.0,3.0,17.0,4.0,11.0,1.0,24.0,0.0,104.0,1392.0,1.0,824.0,6.0,49.0,0.0,2.0,27.0,23.0,9.0,106.0,2.0,3.0,373.0,18.0,2.0,39.0,4.0,49.0,1.0,2.0,283.0
delivery,4.0,0.0,1.0,1.0,17.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,5.0,15.0,0.0,9.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,35.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,6.0,3.0,4.0,1.0,0.0,1.0,1.0,4.0,6.0,3.0,0.0,5.0,8.0,33.0,0.0,0.0,0.0,13.0,0.0,8.0,4.0,7.0,2.0,13.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,9.0,6.0,1.0,193.0,100.0,0.0,9.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,38.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,7.0
vaccine,187.0,178.0,174.0,164.0,368.0,470.0,157.0,291.0,2044.0,141.0,1313.0,25.0,653.0,155.0,314.0,96.0,211.0,57.0,612.0,528.0,1063.0,8.0,1216.0,147.0,18.0,87.0,288.0,430.0,164.0,199.0,580.0,3536.0,151.0,259.0,1055.0,143.0,33.0,77.0,110.0,156.0,169.0,47.0,229.0,239.0,497.0,193.0,59.0,110.0,130.0,64.0,42.0,482.0,678.0,346.0,86.0,2317.0,816.0,947.0,160.0,132.0,95.0,1296.0,160.0,319.0,897.0,336.0,458.0,236.0,262.0,275.0,306.0,391.0,403.0,490.0,210.0,872.0,583.0,445.0,824.0,100.0,26007.0,324.0,438.0,44.0,212.0,385.0,200.0,436.0,291.0,154.0,73.0,1985.0,236.0,87.0,580.0,284.0,467.0,81.0,49.0,975.0
side,1.0,36.0,7.0,6.0,0.0,1011.0,9.0,6.0,71.0,22.0,54.0,2.0,45.0,6.0,17.0,3.0,2.0,2.0,0.0,33.0,1.0,1.0,10.0,9.0,0.0,27.0,5.0,7.0,13.0,12.0,99.0,338.0,22.0,93.0,9.0,3.0,0.0,34.0,4.0,1.0,8.0,1.0,12.0,0.0,35.0,27.0,0.0,4.0,0.0,4.0,1.0,23.0,28.0,29.0,0.0,108.0,5.0,3.0,3.0,23.0,2.0,1.0,24.0,18.0,5.0,8.0,4.0,1.0,9.0,9.0,61.0,40.0,29.0,9.0,80.0,129.0,1.0,12.0,6.0,0.0,324.0,1136.0,4.0,1.0,0.0,28.0,0.0,37.0,1.0,7.0,9.0,20.0,6.0,1.0,25.0,7.0,24.0,1.0,3.0,17.0
health,12.0,4.0,1.0,2.0,268.0,8.0,3.0,22.0,54.0,3.0,51.0,1.0,36.0,11.0,14.0,3.0,9.0,1.0,49.0,66.0,31.0,0.0,54.0,5.0,1.0,2.0,4.0,35.0,4.0,22.0,28.0,87.0,11.0,3.0,52.0,10.0,7.0,1.0,0.0,3.0,4.0,10.0,2.0,12.0,15.0,9.0,1.0,5.0,6.0,3.0,1.0,8.0,32.0,30.0,1.0,148.0,45.0,65.0,14.0,4.0,3.0,42.0,4.0,11.0,63.0,26.0,10.0,16.0,11.0,14.0,7.0,13.0,19.0,9.0,2.0,25.0,11.0,28.0,49.0,9.0,438.0,4.0,1278.0,4.0,21.0,18.0,38.0,30.0,14.0,3.0,5.0,96.0,6.0,107.0,16.0,7.0,15.0,2.0,66.0,36.0
staff,1.0,0.0,1.0,0.0,1.0,3.0,2.0,19.0,2.0,1.0,32.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,24.0,5.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,25.0,6.0,20.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,4.0,6.0,3.0,0.0,9.0,11.0,20.0,0.0,6.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,44.0,1.0,4.0,181.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,4.0,1.0,6.0,0.0
hospital,7.0,3.0,0.0,1.0,9.0,0.0,1.0,7.0,5.0,1.0,58.0,1.0,21.0,5.0,4.0,0.0,2.0,0.0,3.0,55.0,2.0,0.0,9.0,4.0,0.0,4.0,7.0,2.0,0.0,6.0,14.0,22.0,1.0,1.0,17.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,20.0,1.0,0.0,4.0,1.0,3.0,0.0,7.0,29.0,25.0,0.0,219.0,1.0,26.0,1.0,0.0,1.0,5.0,5.0,4.0,10.0,17.0,2.0,0.0,6.0,1.0,6.0,1.0,25.0,2.0,1.0,24.0,1.0,7.0,2.0,0.0,212.0,0.0,21.0,10.0,636.0,1.0,15.0,8.0,1.0,2.0,1.0,7.0,1.0,17.0,0.0,2.0,17.0,0.0,3.0,24.0
study,4.0,2.0,13.0,4.0,3.0,40.0,2.0,0.0,222.0,2.0,5.0,4.0,27.0,1.0,5.0,3.0,0.0,3.0,13.0,14.0,4.0,0.0,3.0,0.0,0.0,1.0,5.0,53.0,13.0,3.0,5.0,131.0,1.0,0.0,27.0,3.0,3.0,0.0,6.0,134.0,1.0,0.0,46.0,0.0,6.0,3.0,0.0,2.0,9.0,0.0,1.0,28.0,39.0,10.0,4.0,232.0,4.0,17.0,0.0,0.0,3.0,9.0,0.0,28.0,49.0,3.0,27.0,4.0,11.0,30.0,2.0,4.0,14.0,32.0,0.0,52.0,0.0,36.0,27.0,0.0,385.0,28.0,18.0,1.0,1.0,850.0,3.0,6.0,3.0,12.0,2.0,18.0,14.0,9.0,16.0,11.0,2.0,1.0,2.0,31.0
state,5.0,1.0,3.0,3.0,23.0,2.0,6.0,4.0,20.0,1.0,14.0,1.0,15.0,6.0,13.0,4.0,7.0,4.0,3.0,31.0,18.0,0.0,18.0,1.0,0.0,5.0,9.0,7.0,1.0,2.0,16.0,32.0,1.0,0.0,10.0,4.0,1.0,1.0,1.0,3.0,1.0,12.0,1.0,11.0,7.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,32.0,15.0,1.0,105.0,9.0,49.0,2.0,0.0,3.0,14.0,2.0,5.0,9.0,39.0,6.0,5.0,18.0,6.0,0.0,6.0,5.0,7.0,2.0,14.0,2.0,7.0,23.0,8.0,200.0,0.0,38.0,1.0,15.0,3.0,652.0,14.0,8.0,4.0,4.0,35.0,4.0,1.0,11.0,1.0,5.0,1.0,2.0,26.0
week,13.0,15.0,4.0,2.0,5.0,50.0,10.0,15.0,87.0,22.0,105.0,0.0,41.0,15.0,25.0,5.0,6.0,2.0,8.0,59.0,21.0,0.0,17.0,9.0,1.0,13.0,18.0,9.0,5.0,12.0,72.0,377.0,6.0,41.0,28.0,4.0,2.0,8.0,2.0,5.0,7.0,7.0,11.0,9.0,64.0,3.0,2.0,2.0,1.0,6.0,2.0,31.0,43.0,51.0,0.0,66.0,23.0,52.0,19.0,17.0,5.0,15.0,13.0,14.0,12.0,7.0,7.0,18.0,33.0,25.0,12.0,27.0,76.0,10.0,13.0,147.0,9.0,35.0,9.0,6.0,436.0,37.0,30.0,1.0,8.0,6.0,14.0,1407.0,15.0,8.0,13.0,52.0,9.0,4.0,20.0,7.0,39.0,18.0,5.0,26.0
approval,2.0,1.0,4.0,1.0,11.0,2.0,4.0,3.0,20.0,2.0,11.0,4.0,5.0,2.0,7.0,12.0,2.0,1.0,149.0,2.0,69.0,0.0,22.0,1.0,0.0,0.0,1.0,7.0,0.0,2.0,10.0,14.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,13.0,11.0,2.0,1.0,0.0,0.0,0.0,2.0,14.0,1.0,19.0,91.0,23.0,6.0,3.0,0.0,1.0,18.0,2.0,6.0,28.0,18.0,20.0,2.0,1.0,16.0,1.0,0.0,0.0,12.0,2.0,6.0,1.0,19.0,106.0,0.0,291.0,1.0,14.0,0.0,1.0,3.0,8.0,15.0,607.0,2.0,6.0,200.0,0.0,0.0,8.0,0.0,46.0,2.0,0.0,109.0
part,2.0,2.0,3.0,3.0,1.0,9.0,4.0,3.0,15.0,4.0,45.0,0.0,8.0,4.0,5.0,0.0,3.0,1.0,1.0,23.0,7.0,0.0,15.0,6.0,0.0,2.0,5.0,10.0,2.0,12.0,14.0,122.0,1.0,7.0,16.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,14.0,10.0,1.0,24.0,10.0,4.0,6.0,0.0,3.0,8.0,5.0,2.0,7.0,1.0,26.0,1.0,1.0,6.0,10.0,9.0,9.0,6.0,6.0,29.0,3.0,1.0,2.0,0.0,154.0,7.0,3.0,0.0,2.0,12.0,4.0,8.0,2.0,465.0,3.0,15.0,8.0,4.0,5.0,2.0,18.0,8.0,1.0,6.0
hope,2.0,0.0,5.0,4.0,1.0,11.0,2.0,7.0,15.0,1.0,14.0,0.0,14.0,1.0,5.0,1.0,4.0,0.0,1.0,18.0,4.0,0.0,3.0,8.0,0.0,2.0,2.0,4.0,4.0,2.0,7.0,39.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,8.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,4.0,3.0,3.0,37.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,2.0,6.0,4.0,5.0,1.0,4.0,5.0,7.0,7.0,3.0,4.0,14.0,1.0,10.0,3.0,0.0,73.0,9.0,5.0,0.0,1.0,2.0,4.0,13.0,6.0,3.0,285.0,27.0,2.0,1.0,2.0,7.0,6.0,4.0,0.0,8.0
sputnikv,75.0,10.0,4.0,16.0,80.0,23.0,21.0,39.0,83.0,13.0,88.0,5.0,78.0,15.0,45.0,2.0,56.0,12.0,335.0,118.0,944.0,1.0,39.0,12.0,0.0,5.0,41.0,106.0,4.0,24.0,42.0,30.0,46.0,6.0,24.0,25.0,5.0,6.0,8.0,9.0,19.0,5.0,11.0,58.0,92.0,42.0,41.0,15.0,25.0,4.0,4.0,9.0,118.0,52.0,0.0,62.0,265.0,158.0,12.0,4.0,10.0,24.0,10.0,47.0,221.0,96.0,84.0,129.0,49.0,53.0,12.0,3.0,30.0,110.0,14.0,73.0,88.0,180.0,373.0,38.0,1985.0,20.0,96.0,5.0,7.0,18.0,35.0,52.0,200.0,15.0,27.0,4823.0,6.0,7.0,127.0,33.0,121.0,19.0,7.0,391.0
oxford,0.0,7.0,1.0,3.0,0.0,9.0,1.0,7.0,36.0,1.0,14.0,0.0,16.0,4.0,9.0,1.0,1.0,0.0,1.0,18.0,5.0,0.0,6.0,5.0,0.0,1.0,1.0,6.0,1.0,4.0,10.0,19.0,1.0,4.0,5.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,14.0,3.0,9.0,4.0,0.0,2.0,4.0,0.0,2.0,3.0,11.0,54.0,1.0,13.0,21.0,10.0,3.0,2.0,2.0,2.0,5.0,5.0,9.0,6.0,23.0,7.0,0.0,4.0,6.0,58.0,3.0,5.0,3.0,1.0,0.0,14.0,18.0,2.0,236.0,6.0,6.0,1.0,1.0,14.0,4.0,9.0,0.0,8.0,2.0,6.0,403.0,0.0,130.0,5.0,3.0,1.0,0.0,9.0
worker,7.0,0.0,0.0,1.0,1.0,4.0,1.0,16.0,12.0,4.0,24.0,1.0,5.0,6.0,4.0,0.0,1.0,0.0,1.0,33.0,1.0,0.0,17.0,2.0,1.0,0.0,5.0,0.0,1.0,21.0,7.0,24.0,0.0,1.0,21.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,9.0,2.0,0.0,9.0,20.0,8.0,2.0,23.0,4.0,6.0,9.0,3.0,2.0,8.0,3.0,3.0,9.0,13.0,3.0,0.0,0.0,2.0,1.0,3.0,4.0,2.0,0.0,18.0,0.0,4.0,2.0,0.0,87.0,1.0,107.0,1.0,17.0,9.0,1.0,4.0,0.0,4.0,1.0,7.0,0.0,305.0,2.0,2.0,14.0,0.0,38.0,4.0
astrazeneca,1.0,12.0,8.0,4.0,4.0,34.0,8.0,14.0,329.0,4.0,21.0,2.0,24.0,9.0,22.0,3.0,3.0,3.0,8.0,73.0,28.0,2.0,25.0,5.0,0.0,2.0,8.0,18.0,6.0,5.0,15.0,222.0,30.0,5.0,45.0,13.0,0.0,3.0,16.0,2.0,8.0,1.0,34.0,6.0,58.0,21.0,0.0,1.0,4.0,4.0,5.0,46.0,67.0,57.0,1.0,71.0,39.0,23.0,2.0,2.0,6.0,4.0,5.0,11.0,91.0,11.0,68.0,9.0,33.0,6.0,6.0,77.0,8.0,55.0,4.0,11.0,7.0,31.0,39.0,4.0,580.0,25.0,16.0,0.0,0.0,16.0,11.0,20.0,8.0,5.0,2.0,127.0,130.0,2.0,1319.0,9.0,19.0,8.0,3.0,15.0
work,3.0,7.0,9.0,4.0,2.0,8.0,5.0,11.0,45.0,1.0,31.0,4.0,21.0,2.0,11.0,3.0,5.0,5.0,2.0,21.0,6.0,0.0,23.0,10.0,1.0,1.0,7.0,13.0,1.0,8.0,35.0,75.0,3.0,5.0,22.0,14.0,2.0,0.0,4.0,43.0,2.0,2.0,6.0,3.0,23.0,1.0,0.0,6.0,11.0,6.0,0.0,13.0,38.0,8.0,1.0,128.0,9.0,0.0,12.0,2.0,3.0,14.0,4.0,3.0,13.0,4.0,11.0,0.0,4.0,15.0,12.0,6.0,4.0,13.0,4.0,12.0,0.0,11.0,4.0,0.0,284.0,7.0,7.0,2.0,2.0,11.0,1.0,7.0,0.0,2.0,7.0,33.0,5.0,2.0,9.0,607.0,18.0,0.0,2.0,14.0
get,3.0,25.0,2.0,24.0,6.0,23.0,12.0,13.0,71.0,5.0,110.0,2.0,47.0,9.0,13.0,5.0,10.0,2.0,53.0,58.0,26.0,0.0,25.0,41.0,1.0,7.0,24.0,9.0,1.0,20.0,52.0,231.0,1.0,20.0,14.0,4.0,3.0,3.0,6.0,2.0,4.0,5.0,5.0,4.0,30.0,11.0,0.0,2.0,5.0,4.0,3.0,14.0,36.0,49.0,3.0,180.0,6.0,14.0,6.0,7.0,0.0,10.0,15.0,11.0,18.0,12.0,4.0,4.0,6.0,4.0,20.0,8.0,23.0,4.0,18.0,91.0,1.0,19.0,49.0,0.0,467.0,24.0,15.0,4.0,17.0,2.0,5.0,39.0,46.0,18.0,6.0,121.0,3.0,14.0,19.0,18.0,1264.0,8.0,8.0,61.0
end,2.0,1.0,0.0,2.0,2.0,1.0,4.0,3.0,19.0,0.0,13.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,1.0,6.0,11.0,0.0,8.0,3.0,1.0,2.0,15.0,2.0,1.0,1.0,14.0,55.0,1.0,4.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,9.0,5.0,0.0,16.0,1.0,19.0,1.0,2.0,0.0,5.0,0.0,14.0,1.0,1.0,10.0,8.0,1.0,3.0,1.0,4.0,3.0,4.0,5.0,12.0,1.0,4.0,1.0,1.0,81.0,1.0,2.0,1.0,0.0,1.0,1.0,18.0,2.0,8.0,4.0,19.0,1.0,0.0,8.0,0.0,8.0,254.0,0.0,7.0
